update_id,key,value
66,release_action,2
66,download_allow_metered,false
66,release_safemode,false
66,release_file_name,com.facebook.katana.285416949.apk
66,release_file_hash,JEuniOGQ+s1Z+Di5WQK+n46GRBwHkjThQTDx2H0OhgI=
66,download_binary_type,3
66,patch_size,-1
66,installer_api,6
66,auto_update,true
66,created_ts,1626512480328
66,release_file_size,61885712
66,state,655408
66,patch_base_version_code,-1
66,flow,2
66,policy,3
66,release_network,2
66,user_approval,2
66,compressed_file_hash,vn6YWlm4Ys72fIBgl68eKiCmx39lRu/qUNFuMgJwtvI=
66,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_1712488162269615_8665380555400271248_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=Kiie31_3rLsAX9XL1Hi&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=7a68099d895d487a30e09e5c79d3ea7f&oe=60F69B37
66,release_signature,ijxLJi1yGs1JpL-X1SExmchvork
66,release_file_mimetype,application/vnd.android.package-archive
66,release_target_sdk,30
66,multifile_download_id,365
66,compressed_algorithm,zstd
66,release_ozone_signature,nctZdmn8kV6H2+94NxHr4vLuWsuU+JprxQD1is8u6FDkoFv0Bm5DJHOKBMNCh+eOQIBwmS3gqrA0JyuTAE9FhLW5iw4qzd36q/QUDC2OvkSLLr3q7XoABcqMuoDNUfGw/oA9zFWRbVoYLyCILK64wKS/1XNFXSBOudJDKzn9j74uIZScY3NBbTy+eAs68Av6ZwCHq/lDyEljSNrObL6k9OmPyn1O4cv8a5xacyL1BeF65Zz2g3w8pm66SMzckrooDbEoafqRdpmU1m+yXgZ10Q1VyTZunZRZGely4mlmN0Wd1hecB6bfEp9AjibxHy5xk0BJ2TrOSYBQTP9WLiEj0g==
66,is_free,false
66,compressed_download_url,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_1712488215602943_2229716258986698130_n.zstd?_nc_cat=1&ccb=1-3&_nc_sid=325c44&_nc_ohc=-iesFFNoJnkAX9u9JZA&_nc_oc=AQkP7HJOjcV5dx-N6m_QPjvcx0RJS--E1Usu-X7mAriY2PjBAuWjFhPRUf4KEtpChfU&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=4c7866ef37e05226ac8f87d003f3296d&oe=60F7AC87
66,oxygen_manifest_metadata,{}
66,compressed_file_size,58125798
66,release_version_name,327.0.0.33.120
66,download_api,1
66,state_ts,1626512480791
66,release_full_apk_signature,AQDiMEYCIQCs08gzXcusCKH1NEyukxFDoHbstI4/I2XIoXmS6fTN0gIhAJy9fUMi67XYCQSS8VH/feMFHPtAZRQ0yjXbBbL8+TG0
64,release_action,2
64,canceled_descr,Newer version is available.
64,download_allow_metered,false
64,download_binary_type,3
64,release_file_hash,ANfvH+SJ+WXcsX1wGZbYycEW2aHitvnERHHGZYausMM=
64,release_file_name,com.instagram.android.304101669.apk
64,release_safemode,false
64,patch_size,-1
64,installer_api,6
64,auto_update,true
64,created_ts,1626376386266
64,release_file_size,40946596
64,state,262656
64,patch_base_version_code,-1
64,canceled_state,655408
64,flow,2
64,policy,3
64,release_network,2
64,user_approval,2
64,compressed_file_hash,fPeF9KszW8G2kV11DsdeBCqs6Al9u8b3uMLY6yia/T8=
64,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_310400900773780_1444434434157704146_n.apk?_nc_cat=107&ccb=1-3&_nc_sid=379304&_nc_ohc=9TbZbN7m2s4AX-xx8R7&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=7a72024fb0f51501353cbd4230c77489&oe=60F662E4
64,release_signature,xW-31ZG6ZwTfBH_Zj1NTcv6gAhE
64,release_file_mimetype,application/vnd.android.package-archive
64,release_target_sdk,30
64,multifile_download_id,360
64,compressed_algorithm,zstd
64,release_ozone_signature,PlEnq5NA9mA6u1Q8TabRtyjQYMvkoJwxN1RH25ZR6VqZi/2pDNYvDr1tnkiZfcjVByec5HmMhc8EWjDOkEIxPUCAn44H7ecjpAn91aaYLf2QD0skqXy4UFrxyGZGIvNQCsAKsJxeSK61RvxPBUrARW6oNRk3/nsHVHuMbEeHU4k4XZIeoJPhN2V8xeqiIEdNTFRq6QFHMOw6MeD14+q3ThECuglLTPoOcgDxNjKZf2OSRYV3li8aeP013t3wRukPCD+SLN9PD7mMFPaQVnQ6ee8a0gn/G5UgPgT2R6AndG66nndgMV7z2bj0Ggiub5vQOEo4irpOroP4+gARbzwJRg==
64,is_free,false
64,compressed_download_url,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_310400947440442_3757879516596189795_n.zstd?_nc_cat=1&ccb=1-3&_nc_sid=325c44&_nc_ohc=iro4q3Hx2qcAX8wz8Ml&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=a629ddd50742abd2b8d63879dbd64099&oe=60F5E97F
64,oxygen_manifest_metadata,{}
64,compressed_file_size,37502647
64,release_version_name,196.0.0.32.126
64,download_api,1
64,release_full_apk_signature,AQDiMEYCIQDLiIEBJuAUBGHki6/yVtr5B7OtFTkWbVxsHzA8fRyYPgIhAL01Ltg9uTuzWuQo29s3wy4xPGu6UYcSWeqViOGeQYsD
64,state_ts,1626977241701
67,release_action,2
67,download_allow_metered,false
67,release_safemode,false
67,release_file_name,com.instagram.android.305478211.apk
67,release_file_hash,72RiguehKuaKuK5nIo7n1eUDq7u1bWMWjkb2oz8IvrE=
67,download_binary_type,3
67,patch_size,-1
67,installer_api,6
67,auto_update,true
67,created_ts,1626977241975
67,release_file_size,40096416
67,state,655408
67,patch_base_version_code,-1
67,flow,2
67,policy,3
67,release_network,2
67,user_approval,2
67,compressed_file_hash,jfxBcMWdb/+w7oS6w5mt1A4q1kYfQV4iIzLW/co4a7M=
67,release_remote_uri,https://scontent-iad3-2.xx.fbcdn.net/v/t39.10537-6/10000000_325568439215315_7093221601595266719_n.apk?_nc_cat=110&ccb=1-3&_nc_sid=379304&_nc_ohc=iM-_8mKbzD0AX9gEp9r&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-iad3-2.xx&oh=f312677beed61b92097774340f963be8&oe=60FE8A5E
67,release_signature,xW-31ZG6ZwTfBH_Zj1NTcv6gAhE
67,release_file_mimetype,application/vnd.android.package-archive
67,release_target_sdk,30
67,multifile_download_id,389
67,compressed_algorithm,zstd
67,release_ozone_signature,AooVPEkqzL4XMivysQFfGRH4UxIp0HDBjVZfrK79+F4wTU76dcnb3GveYE+uLeuhiemcIpt1DhrBYkzMy3N76KUziDOK119gEW0fHeovfnAl/WBzN9smhSCiAA8QsOQmOvb/EDkL5sF4DkCoYsfmx/pdk1w3FSaFbNiRby/FEt7cKpO+2+X/TEdHdwoZuk6AyS8bPHb+crGsubHkAtM7CEeVhdw/8beRmrcUIe6Y4Kerdc7wI5/x/XZB4GR4Mofl3tnJ878f1c3cwyvPP2btyjvxE8sIfOskSRZU7sm7SbHktyqQJcpYgSYKvvKAYbiIEow1EJrHQq2Q9xONDsfyBw==
67,is_free,false
67,compressed_download_url,https://scontent-iad3-2.xx.fbcdn.net/v/t39.10537-6/10000000_325568469215312_4077061151746898067_n.zstd?_nc_cat=1&ccb=1-3&_nc_sid=325c44&_nc_ohc=tlB0axKuypQAX81U6En&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-iad3-2.xx&oh=b422809bc9b79e2cc4a7eb21e4649723&oe=60FDC6E9
67,oxygen_manifest_metadata,{}
67,compressed_file_size,37053672
67,release_version_name,197.0.0.26.119
67,download_api,1
67,state_ts,1626977242108
67,release_full_apk_signature,AQDiMEUCIB0LmQp3CnZJjwjrfbXZzcaOCnmNQCLqRcDHBCjCLMvxAiEAimNmh8YEsJfOOhDRIhJDBkNDA80Hz5QWuY2jKLyr/K4=
65,release_action,2
65,download_allow_metered,false
65,download_binary_type,3
65,release_file_hash,2IwzyWnC4YCN7euF980Mh9+ClU0vMFW+AlvDGifKUvk=
65,release_file_name,com.facebook.orca.294216016.apk
65,release_safemode,false
65,patch_size,-1
65,installer_api,6
65,auto_update,true
65,created_ts,1626460696310
65,release_file_size,44801467
65,state,655408
65,patch_base_version_code,-1
65,flow,2
65,policy,3
65,release_network,2
65,user_approval,2
65,compressed_file_hash,nSqPbIkIcn6SVZtdVgW1CcYJD3j4NWhzRQ1Y9AWusf0=
65,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_554297602422678_5682812887159017440_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=UcEyNjZohNAAX_A-usH&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=005d6d7d35862c1fdd915e7766d41b5a&oe=60F79E8E
65,release_signature,ijxLJi1yGs1JpL-X1SExmchvork
65,release_file_mimetype,application/vnd.android.package-archive
65,release_target_sdk,29
65,compressed_algorithm,zstd
65,download_paused,false
65,release_ozone_signature,JHc4IN/N9zKbEFUL744OIDe6JDjo6aZTm/X4gqVPte7ZpHZ74JK0B2Zr+u5uWkgspuX1kY/5F0OvW/ojFtY5tsMcWlddUWXud8hr29MOWuON1goLp3hHY46InFvuduA0VJpvw/l0x6uu42FajUzBjYHp0IknLy5ifSr3MLk2zR78s/tCpzWDgDi6SuaDQIURR/QJOfrnO+7up32zOCKJKuc0zNz0PMhrKZbi4O5+hWNe06s9nJ/m4SRmYwsU06lqGDjHdY/hWji+jLVHVhbyFUAso/Mx+Ql2gmKfVXDM6pjA+fyBi3p+rIXhwSYTGR9Bri2OIUwnTsZQBUjQ7l/4AQ==
65,is_free,false
65,compressed_download_url,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_554297642422674_1399539413159914279_n.zstd?_nc_cat=1&ccb=1-3&_nc_sid=325c44&_nc_ohc=IRt7Bi9SgRsAX867JiY&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=3e749d80801152448913991ab59bea94&oe=60F71CAB
65,oxygen_manifest_metadata,{}
65,compressed_file_size,43194428
65,release_version_name,321.0.0.16.119
65,download_api,1
65,download_id,364
65,release_full_apk_signature,AQDiMEYCIQC6eZM1ZpMel/vxoEeizc8D7w4UAjKlvoMLHu4D6jH8nAIhAM29zL2yzY0K1oTldOI8DD7nt4g+3OyfEsttLw29946y
65,state_ts,1626460696435
